Rank,lemma,Frequency_Score,pos,english_definition,example_vi,example_en
1526,me,4.81,verb,"to covet, watch intensely",Nó cứ me cái túi của tôi.,He keeps coveting my bag.
1527,nghèo,4.81,adjective,"poor, impoverished",Gia đình anh ấy nghèo lắm.,His family is very poor.
1528,ngón,4.81,noun,"finger, toe",Cô ấy có ngón tay dài.,She has long fingers.
1529,ngơi,4.81,verb,"to rest, to cease",Làm việc xong thì ngơi tí.,"After working, rest a bit."
1530,ngại,4.81,adjective/verb,"shy, hesitant, afraid",Tôi ngại nói trước đám đông.,I'm shy to speak in public.
1531,nấu,4.81,verb,"to cook, to boil",Mẹ tôi đang nấu cơm.,My mom is cooking rice.
1532,park,4.81,verb,to park (a vehicle),Anh park xe ở đâu?,Where did you park the car?
1533,say,4.81,adjective/verb,"drunk, dizzy, enchanted",Anh ấy uống rượu say rồi.,He drank and got drunk.
1534,than,4.81,verb,"to complain, to lament",Đừng có than vãn nữa.,Don't complain anymore.
1535,tuấn,4.81,proper noun,common Vietnamese male name,Tuấn là bạn của tôi.,Tuan is my friend.
1536,chở,4.8,verb,"to transport, to carry",Anh ấy chở tôi đi làm.,He drives me to work.
1537,cãi,4.8,verb,"to argue, to dispute",Hai đứa đang cãi nhau.,The two kids are arguing.
1538,george,4.8,proper noun,common English male name,George là tên bạn tôi.,George is my friend's name.
1539,ho,4.8,verb/noun,"to cough, cough",Anh ấy bị ho nhiều lắm.,He coughs a lot.
1540,hán,4.8,noun/adjective,Han (Chinese ethnicity/script),Cô ấy nghiên cứu chữ Hán.,She studies Han characters.
1541,hỗn,4.8,adjective,"rude, disrespectful, mischievous",Đừng có hỗn với người lớn.,Don't be rude to elders.
1542,khuôn,4.8,noun,"mold, frame, pattern",Mẹ đang làm bánh bằng khuôn.,Mom is making cake with a mold.
1543,kèm,4.8,verb,"to include, accompany, attach",Bánh này kèm một cốc trà.,This cake comes with a cup of tea.
1544,nhẫn,4.8,noun,ring (jewelry),Cô ấy đeo một chiếc nhẫn đẹp.,She wears a beautiful ring.
1545,singapore,4.8,noun,Singapore (country),Tôi muốn đi du lịch Singapore.,I want to travel to Singapore.
1546,sánh,4.8,verb,"to compare with, match",Không ai sánh được với anh ấy.,No one can compare with him.
1547,sữa,4.8,noun,milk,Con thích uống sữa tươi không đường.,My child likes unsweetened fresh milk.
1548,thiền,4.8,verb,to meditate,Buổi sáng tôi thường thiền.,I often meditate in the morning.
1549,thùng,4.8,noun,"barrel, box, carton",Mang cái thùng này ra ngoài đi.,Take this box outside.
1550,trưa,4.8,noun,"noon, lunchtime",Mấy giờ thì ăn cơm trưa?,What time do we eat lunch?
1551,xóa,4.8,verb,"to erase, delete, abolish",Bạn xóa hộ tôi cái ảnh này nhé.,Please delete this photo for me.
1552,duyệt,4.79,verb,"to approve, review, browse",Anh ấy đã duyệt đề xuất rồi.,He has approved the proposal.
1553,dường,4.79,verb,"to seem, appear, indicate",Trời dường sắp mưa rồi đấy.,It seems like it's about to rain.
1554,hang,4.79,noun,"cave, grotto",Chúng tôi thám hiểm một cái hang lớn.,We explored a large cave.
1555,hoan,4.79,adjective,"joyful, delighted, pleased","Nghe tin đó, ai cũng hoan.","Hearing that news, everyone was delighted."
1556,mèo,4.79,noun,cat,Nhà tôi có một con mèo đáng yêu.,My family has a lovely cat.
1557,móc,4.79,verb,"to hook, hang, pick","Móc áo lên đi, đừng vứt thế.","Hang your coat up, don't just throw it there."
1558,phiền,4.79,verb,"to bother, trouble, annoy","Đừng phiền tôi nữa, tôi bận lắm.","Don't bother me anymore, I'm very busy."
1559,pháo,4.79,noun,"firecracker, cannon",Tối nay có bắn pháo hoa.,There will be fireworks tonight.
1560,soạn,4.79,verb,"to compose, prepare, draft",Tôi đang soạn giáo án cho buổi học.,I'm preparing lesson plans for the class.
1561,thám,4.79,verb,"To explore, investigate, scout",Anh ấy thích thám những nơi lạ.,He likes exploring strange places.
1562,tú,4.79,adjective,"Elegant, graceful, outstanding",Cô gái ấy trông rất tú.,That girl looks very elegant.
1563,ôm,4.79,verb,"To hug, embrace, carry",Mẹ ôm con ngủ.,Mom hugged her child to sleep.
1564,chán,4.78,adjective,"Bored, fed up, tired of",Tôi chán ngấy rồi.,I'm completely fed up.
1565,cụm,4.78,noun,"Cluster, clump, group",Một cụm mây trắng.,A cluster of white clouds.
1566,giãn,4.78,verb,"To stretch, expand, relax",Tập thể dục giúp giãn cơ.,Exercise helps stretch muscles.
1567,hòn,4.78,classifier,"Classifier for rounded objects; small stone, island",Một hòn đá nhỏ.,A small stone.
1568,hối,4.78,verb,"To urge, rush, regret",Đừng hối tôi nữa.,Don't rush me anymore.
1569,luân,4.78,verb,"To rotate, cycle, take turns",Các mùa trong năm luân chuyển.,The seasons of the year rotate.
1570,lát,4.78,noun,"Slice, thin piece, moment",Cho tôi một lát bánh.,Give me a slice of cake.
1571,mạn,4.78,noun,"Side, edge, region",Họ sống ở mạn dưới kia.,They live down that way.
1572,mồi,4.78,noun,"Bait, lure, kindling",Bọn trẻ dùng mồi câu cá.,The kids used bait to fish.
1573,rắn,4.78,noun,"Snake; hard, tough (adj)",Con rắn bò nhanh quá.,The snake crawled too fast.
1574,sỹ,4.78,noun,"Scholar, master, warrior","Ngày xưa, người sỹ được trọng vọng.","In the past, scholars were highly respected."
1575,thải,4.78,verb,"To excrete, discharge, eliminate",Cơ thể thải độc hàng ngày.,The body eliminates toxins daily.
1576,viêm,4.78,noun,Inflammation; to inflame (verb),Tôi bị viêm họng.,I have a sore throat.
1577,bách,4.77,noun,"Cypress tree; hundred, all",Cây bách này rất cao.,This cypress tree is very tall.
1578,co,4.77,verb,"To shrink, contract, pull back",Vải này dễ bị co.,This fabric shrinks easily.
1579,dã,4.77,adjective,"Wild, untamed",Khu rừng này vẫn còn rất dã.,This forest is still very wild.
1580,hằng,4.77,adverb,"Always, constantly, every",Tôi hằng nhớ về quê hương.,I always remember my homeland.
1581,khái,4.77,adjective,"general, overall, approximate",Anh ấy nói khái quát thôi.,He just spoke generally.
1582,phẫu,4.77,bound morpheme,"surgical, dissecting, cutting",Anh ấy mới phẫu thuật xong.,He just finished surgery.
1583,trầm,4.77,adjective,"deep, sunken, subdued",Giọng anh ấy trầm lắm.,His voice is very deep.
1584,trộm,4.77,noun,"thief, to steal",Nhà tôi bị trộm vào.,My house was broken into by a thief.
1585,xưởng,4.77,noun,"factory, workshop",Bố tôi làm ở xưởng.,My dad works at the factory.
1586,đan,4.77,verb,"knit, weave",Mẹ tôi đang đan áo.,My mom is knitting a sweater.
1587,ức,4.77,noun,"resentment, indignation, billion",Cô ấy ấm ức lắm.,She feels very resentful.
1588,bận,4.76,adjective,"busy, occupied",Tối nay tôi bận rồi.,I'm busy tonight.
1589,chai,4.76,noun,bottle,Cho tôi một chai nước.,Give me a bottle of water.
1590,chiêu,4.76,noun,"strategy, trick, move",Anh ấy nhiều chiêu lắm.,He has many tricks up his sleeve.
1591,chăn,4.76,noun,blanket,Đắp chăn vào cho ấm.,Put on a blanket to stay warm.
1592,côn,4.76,bound morpheme,"rod, staff, insect (component)",Đây là con côn trùng.,This is an insect.
1593,cẩm,4.76,bound morpheme,"brocade, ornamental, precious",Đây là cẩm nang du lịch.,This is a travel handbook.
1594,de,4.76,verb,"to yield, to give way",Cậu cứ de ra cho tôi.,You just give way for me.
1595,khẳng,4.76,bound morpheme,"affirm, assert, confirm",Anh ấy khẳng định thế.,He affirmed that.
1596,kín,4.76,adjective,"closed, secret, tight",Cửa đóng kín rồi.,The door is closed tightly.
1597,liều,4.76,adjective,"reckless, daring, to risk",Anh ta liều thật đấy.,He's really reckless.
1598,mm,4.76,noun,millimeter (unit of length),Chiều dài khoảng 10 mm.,The length is about 10 mm.
1599,my,4.76,noun,"America, beautiful (component)",Cô ấy đi Mỹ du học.,She went to America to study abroad.
1600,nho,4.76,noun,grape,Tôi thích ăn nho.,I like to eat grapes.
1601,nô,4.76,noun,"slave, serf",Ngày xưa có nô lệ.,"In the past, there were slaves."
1602,quyển,4.76,classifier,classifier for books/notebooks,Cho tôi mượn quyển sách đó.,Lend me that book.
1603,rau,4.76,noun,"vegetable, greens",Mẹ đi chợ mua rau.,Mom went to the market to buy vegetables.
1604,tia,4.76,noun,"ray, beam, streak",Một tia nắng chiếu vào phòng.,A ray of sunlight shone into the room.
1605,tiêm,4.76,verb,"to inject, vaccinate",Bác sĩ tiêm thuốc cho bé.,The doctor injected medicine for the baby.
1606,windows,4.76,noun,Windows operating system,Máy tính tôi dùng Windows 10.,My computer uses Windows 10.
1607,úy,4.76,verb,"to fear, be awed by (formal)",Ông ta úy quyền lực của vua.,He feared the king's power.
1608,chìm,4.75,verb,"to sink, submerge",Con thuyền từ từ chìm xuống biển.,The boat slowly sank into the sea.
1609,cám,4.75,noun,"animal feed, bran",Nhà tôi nuôi lợn bằng cám.,My family raises pigs with feed.
1610,for,4.75,preposition,"for, to support (loanword)",Tôi vote for anh ấy.,I vote for him.
1611,khung,4.75,noun,"frame, framework, chassis",Treo ảnh vào khung này đi.,Hang the picture in this frame.
1612,khát,4.75,adjective,thirsty; to thirst for,Tôi khát nước quá!,I'm so thirsty!
1613,kĩ,4.75,adverb,"carefully, thoroughly, meticulously",Em phải làm bài kĩ vào.,You must do your homework carefully.
1614,malaysia,4.75,noun,Malaysia (country),Tôi muốn đi du lịch Malaysia.,I want to travel to Malaysia.
1615,muối,4.75,noun,"salt; to salt, cure",Cho thêm chút muối vào canh.,Add a little more salt to the soup.
1616,màng,4.75,noun,"membrane, film, layer",Cái màng bọc thức ăn đâu rồi?,Where is the food wrap?
1617,mộng,4.75,noun,dream; to dream,Tôi có một giấc mộng đẹp.,I had a beautiful dream.
1618,thép,4.75,noun,steel,Cây cầu này làm bằng thép.,This bridge is made of steel.
1619,thụy,4.75,prefix,prefix for Switzerland/Sweden,Tôi muốn đi Thụy Sĩ du lịch.,I want to travel to Switzerland.
1620,tour,4.75,noun,"tour, trip (loanword)",Chúng tôi đặt tour du lịch Đà Nẵng.,We booked a Da Nang tour.
1621,tuân,4.75,verb,"to obey, comply, follow",Mình phải tuân thủ luật giao thông.,We must obey traffic laws.
1622,tám,4.75,numeral,eight,Nhà mình có tám người.,My family has eight people.
1623,táo,4.75,noun,apple,Mình thích ăn táo đỏ.,I like eating red apples.
1624,tốn,4.75,verb,"to cost, to spend",Cái này tốn nhiều tiền lắm.,This costs a lot of money.
1625,vững,4.75,adjective,"firm, steady, stable",Cái bàn này đứng rất vững.,This table stands very steadily.
1626,xạ,4.75,noun,musk (animal secretion),Con chồn này có mùi xạ nồng.,This civet has a strong musk smell.
1627,bông,4.74,noun,"cotton, flower (in general)",Áo này làm bằng bông.,This shirt is made of cotton.
1628,cửu,4.74,numeral,nine (classical/formal usage),Sông Cửu Long chảy qua nhiều tỉnh.,The Mekong River flows through many provinces.
1629,dâm,4.74,adjective,"lustful, lewd, lascivious",Hắn ta hay nói lời dâm tục.,He often says lewd words.
1630,hoảng,4.74,verb,"to panic, startled, terrified","Nghe tiếng động lạ, nó hoảng lên.","Hearing a strange noise, it panicked."
1631,khoan,4.74,verb,"to drill, bore, postpone",Anh ấy đang khoan tường.,He is drilling the wall.
1632,khôi,4.74,noun,"lump, block (e.g., coal)",Bãi than có nhiều khôi lớn.,The coal yard has many large lumps.
1633,khẩn,4.74,adjective,"urgent, pressing, emergency",Đây là việc khẩn cấp.,This is an urgent matter.
1634,leo,4.74,verb,"to climb, to ascend",Con mèo đang leo cây.,The cat is climbing the tree.
1635,lưỡi,4.74,noun,"tongue, blade",Đừng thè lưỡi trêu tôi.,Don't stick out your tongue to tease me.
1636,lồ,4.74,adjective,"exposed, bulging, obvious",Mấy viên đá lồ lên mặt đất.,A few stones protruded from the ground.
1637,mạo,4.74,verb,"to impersonate, brave, risk",Anh ta mạo nhận là bác sĩ.,He impersonated a doctor.
1638,nhuận,4.74,adjective,"smooth, glossy, intercalary",Năm nay là năm nhuận.,This year is a leap year.
1639,nhị,4.74,numeral,two (classical/formal usage),Nhị vị khách quý đã đến.,The two distinguished guests have arrived.
1640,sàn,4.74,noun,"floor, platform, market",Nhà tôi có sàn gỗ.,My house has a wooden floor.
1641,túy,4.74,adjective,"completely drunk, intoxicated",Anh ấy say túy lúy rồi.,He's completely drunk.
1642,đầm,4.74,noun,"dress, gown",Cô ấy mặc chiếc đầm đẹp.,She's wearing a beautiful dress.
1643,album,4.73,noun,"album (music, photo)",Album nhạc này hay lắm.,This music album is great.
1644,bùi,4.73,adjective,"rich, fatty, savory (taste)",Món này ăn bùi lắm.,This dish tastes very rich.
1645,google,4.73,verb,to search on Google,Cái này bạn google đi.,You should Google this.
1646,khoáng,4.73,noun,mineral,Nước khoáng này ngon ghê.,This mineral water is delicious.
1647,khuẩn,4.73,noun,"bacteria, germ",Rửa tay diệt khuẩn nhé.,Wash your hands to kill germs.
1648,khích,4.73,verb,"to encourage, stimulate",Mấy đứa cứ khích nhau.,Those kids keep egging each other on.
1649,khứ,4.73,noun,"past, gone (in compounds)",Đừng nhắc chuyện quá khứ nữa.,Don't bring up the past anymore.
1650,kiều,4.73,noun,"beautiful woman, charming",Cô ấy là một kiều nữ.,She is a beautiful lady.
1651,lẻ,4.73,adjective,"odd, singular, loose (change)",Số lẻ này khó chia.,This odd number is hard to divide.
1652,lọc,4.73,verb,"to filter, strain",Nhớ lọc nước trước khi uống.,Remember to filter water before drinking.
1653,paris,4.73,noun,Paris (capital of France),Tôi muốn đi du lịch Paris.,I want to travel to Paris.
1654,peter,4.73,noun,Peter (a male name),Peter là bạn tôi.,Peter is my friend.
1655,trôi,4.73,verb,"to float, drift, flow",Con thuyền cứ thế trôi đi.,The boat just drifted away.
1656,trượt,4.73,verb,"to slide, slip, fail",Tôi bị trượt chân té.,I slipped and fell.
1657,vuông,4.73,adjective,"square, right-angled",Cái bàn này hình vuông.,This table is square-shaped.
1658,xá,4.73,verb,"to forgive, pardon",Thôi xá cho nó đi.,Just forgive him/her.
1659,ơi,4.73,particle,"vocative particle, hey, oh","Mẹ ơi, con đói.","Mom, I'm hungry."
1660,bụi,4.72,noun,"dust, bush, clump",Trong phòng nhiều bụi quá.,There's too much dust in the room.
1661,chép,4.72,verb,"copy, transcribe, rewrite",Chép bài này vào vở đi.,Copy this lesson into your notebook.
1662,duyên,4.72,noun,"charm, grace, affinity, fate",Con bé này có duyên ghê.,This girl is very charming.
1663,gián,4.72,noun,cockroach,Nhà nhiều gián quá.,There are too many cockroaches in the house.
1664,men,4.72,noun,"yeast, starter, fermentation agent",Cho thêm men vào bánh mì.,Add more yeast to the bread.
1665,mây,4.72,noun,cloud,Hôm nay trời nhiều mây.,It's cloudy today.
1666,mù,4.72,adjective,"blind, foggy, obscure",Trời mù mịt khó nhìn đường.,"It's foggy, hard to see the road."
1667,quỷ,4.72,noun,"devil, demon, evil spirit",Đừng tin lời quỷ dữ.,Don't believe the devil's words.
1668,sợi,4.72,noun,"strand, thread, fiber",Cắt sợi chỉ này ra đi.,Cut this thread.
1669,tao,4.72,pronoun,"I, me (very informal)",Tao không thích mày đâu.,I don't like you.
1670,tủ,4.72,noun,"cabinet, cupboard, wardrobe",Để quần áo vào tủ đi.,Put the clothes in the wardrobe.
1671,vây,4.72,verb,"surround, encircle, besiege",Bọn họ vây quanh tôi.,They surrounded me.
1672,đặng,4.72,particle,"able to, succeed",Làm sao mà đặng như thế?,How can it be like that?
1673,chư,4.71,determiner,"all, plural marker (literary)",Kính chào chư vị khách quý.,Greetings to all distinguished guests.
1674,chả,4.71,adverb,"not, never (contraction of chẳng)",Tôi chả thích ăn cái này.,I don't like eating this.
1675,dọn,4.71,verb,"clean, prepare, arrange, serve",Dọn nhà đi thôi.,Let's clean the house.
1676,hẹp,4.71,adjective,"narrow, confined, limited",Con đường này hẹp quá.,This road is too narrow.
1677,kem,4.71,noun,"cream, ice cream",Em bé thích ăn kem lắm.,The baby really likes eating ice cream.
1678,kiệt,4.71,adjective,"exhausted, depleted, drained",Anh ấy làm việc đến kiệt sức.,He worked until he was exhausted.
1679,lân,4.71,noun,"lion (mythical), qilin",Múa lân thật đẹp.,The lion dance is really beautiful.
1680,lồng,4.71,noun,cage,Chim đang ở trong lồng.,The bird is in the cage.
1681,muộn,4.71,adjective,"late, slow, overdue",Sao bạn đến muộn thế?,Why are you so late?
1682,mì,4.71,noun,"noodles, pasta",Tối nay ăn mì tôm không?,Shall we eat instant noodles tonight?
1683,nguyệt,4.71,noun,moon (literary); given name,Em tên là Nguyệt.,My name is Nguyệt.
1684,ngầm,4.71,adverb,"hidden, secret, subtly",Họ có mối quan hệ ngầm.,They have a secret relationship.
1685,nét,4.71,noun,"stroke, line, feature",Khuôn mặt cô ấy có nhiều nét đẹp.,Her face has many beautiful features.
1686,nấm,4.71,noun,"mushroom, fungus",Món này có nấm hương rất thơm.,This dish has very fragrant shiitake mushrooms.
1687,phe,4.71,noun,"faction, side, group",Hai phe đang tranh cãi kịch liệt.,The two sides are arguing fiercely.
1688,quái,4.71,adjective,"strange, weird, abnormal",Chuyện gì quái lạ thế này?,What's this strange thing?
1689,tiềm,4.71,adjective,"latent, potential, hidden",Khả năng của cậu ấy vẫn tiềm.,His ability is still latent.
1690,trịnh,4.71,noun,solemn (in compounds); family name,Bạn có biết ai tên Trịnh không?,Do you know anyone named Trịnh?
1691,vội,4.71,adjective,"hurried, rushed, quickly","Đừng vội thế, từ từ thôi.","Don't rush like that, take your time."
1692,đoạt,4.71,verb,"seize, snatch, win",Anh ấy đã đoạt giải nhất.,He won first prize.
1693,đói,4.71,adjective,hungry,"Tớ đói quá, ăn gì không?","I'm so hungry, wanna eat something?"
1694,bỉ,4.7,adjective,"contemptible, inferior",Thái độ đó thật bỉ.,That attitude is truly contemptible.
1695,gói,4.7,verb,"wrap, package, bundle","Mẹ ơi, gói bánh cho con.","Mom, wrap the cake for me."
1696,hiền,4.7,adjective,"gentle, kind, mild",Con bé nhà tôi rất hiền.,My little girl is very gentle.
1697,lỏng,4.7,adjective,"loose, liquid, slack",Nước này ở dạng lỏng.,This water is in liquid form.
1698,ngắm,4.7,verb,"gaze, admire, aim",Ngắm pháo hoa thích thật!,Watching fireworks is really nice!
1699,rồng,4.7,noun,dragon,Rồng là con vật linh thiêng.,The dragon is a sacred animal.
1700,su,4.7,noun,choux pastry (shortening),Hôm nay có su không?,Is there choux pastry today?
1701,tang,4.7,noun,"Funeral, mourning period",Mai nhà họ có tang.,Tomorrow their family has a funeral.
1702,thạnh,4.7,adjective,"Prosperous, flourishing, thriving",Chúc mọi người an khang thạnh vượng.,Wishing everyone peace and prosperity.
1703,xoay,4.7,verb,"To turn, rotate, spin",Anh xoay ghế lại đây ngồi.,"You, turn the chair here to sit."
1704,à,4.7,particle,"Expresses surprise, realization, query","À, thế ra là vậy!","Oh, so that's how it is!"
1705,đằng,4.7,noun,"Side, direction, whereabouts",Nhà tôi ở đằng kia kìa.,My house is over there.
1706,ổ,4.7,noun,"Nest, den, socket, cluster",Có một ổ chim trên cây.,There's a bird's nest on the tree.
1707,bồi,4.69,noun,"Waiter, attendant, bellhop",Em gọi bồi mang thêm nước nhé.,I'll call the waiter to bring more water.
1708,canada,4.69,proper noun,North American country,Tôi có người nhà ở Canada.,I have relatives in Canada.
1709,dáng,4.69,noun,"Figure, shape, posture, appearance",Cô ấy có dáng người đẹp lắm.,She has a very beautiful figure.
1710,ghé,4.69,verb,"To stop by, drop in",Chiều nay anh ghé nhà em nhé.,"This afternoon, stop by my place, okay?"
1711,giáng,4.69,verb,"To descend, fall, demote",Lễ Giáng sinh vui vẻ nhé!,Merry Christmas!
1712,league,4.69,noun,"Sports league, association",Anh ấy là fan của giải bóng đá League 1.,He's a fan of the League 1 football tournament.
1713,lãm,4.69,verb,"To view, observe (formal)",Chúng tôi đi chiêm lãm cảnh đẹp.,We went to admire the beautiful scenery.
1714,mến,4.69,verb,"To like, be fond of",Tôi rất mến tính cách của cô ấy.,I really like her personality.
1715,na,4.69,noun,Custard apple (fruit),Quả na này ngọt lắm.,This custard apple is very sweet.
1716,nhãn,4.69,noun,"Longan fruit, label, brand",Tôi thích ăn quả nhãn lắm.,I really like eating longan fruit.
1717,nhượng,4.69,verb,"To cede, transfer, yield",Họ nhượng lại cửa hàng cho tôi.,They transferred the shop to me.
1718,nút,4.69,noun,"Button, knot, bud",Áo này bị tuột một nút rồi.,This shirt lost a button.
1719,nướng,4.69,verb,"To grill, roast, bake",Tối nay mình nướng thịt ăn đi.,Let's grill meat tonight to eat.
1720,sốt,4.69,noun,"Fever, sauce",Con bé bị sốt cao lắm.,The little girl has a high fever.
1721,thưa,4.69,verb,"address politely, respectfully","Thưa bác, cháu chào bác ạ.","Uncle, I respectfully greet you."
1722,tv,4.69,noun,television set,Tối nay xem tv không?,Watch TV tonight?
1723,tươi,4.69,adjective,"fresh, vivid, lively",Hoa này tươi quá!,These flowers are so fresh!
1724,ven,4.69,noun,"edge, bank",Đi ven hồ cho mát.,Walk along the lake to cool off.
1725,xô,4.69,verb,"push, jostle",Đừng có xô tôi!,Don't push me!
1726,ôn,4.69,verb,"review, revise (lessons)",Tối nay phải ôn bài.,"Tonight, I have to review lessons."
1727,by,4.68,foreign word,English preposition 'by',"Dịch từ ""by"" sang tiếng Việt.","Translate the word ""by"" into Vietnamese."
1728,bút,4.68,noun,"pen, pencil",Cho tôi mượn cái bút.,Lend me a pen.
1729,dạo,4.68,verb,"stroll, wander",Đi dạo phố đi.,Let's go for a walk.
1730,it,4.68,foreign word,English pronoun 'it',"Nghĩa của từ ""it"" là gì?","What is the meaning of the word ""it""?"
1731,khen,4.68,verb,"praise, compliment",Cô giáo khen tôi học giỏi.,The teacher praised me for studying well.
1732,khôn,4.68,adjective,"smart, wise, clever",Thằng bé này khôn quá!,This boy is so clever!
1733,kí,4.68,verb,"sign, endorse",Anh kí vào đây giúp em.,Please sign here for me.
1734,lắp,4.68,verb,"install, assemble, fit",Lắp cái quạt trần này đi.,Install this ceiling fan.
1735,mồ,4.68,noun,"grave, tomb",Ra thăm mồ ông bà.,Go visit grandparents' grave.
1736,nhấn,4.68,verb,"press, emphasize",Nhấn nút này là được.,Press this button and it's done.
1737,paul,4.68,proper noun,English male name Paul,Anh Paul đang ở đâu?,Where is Paul?
1738,tạ,4.68,noun,unit of 100 kilograms,Mua mấy tạ thóc rồi?,How many tạ of rice did you buy?
1739,vang,4.68,verb,"echo, resound",Tiếng chuông vang xa.,The bell sound echoed far.
1740,vú,4.68,noun,"breast, nipple",Sữa vú mẹ tốt nhất.,Mother's breast milk is best.
1741,xích,4.68,noun,"metal chain, link",Cái xích xe đạp bị đứt rồi.,The bicycle chain broke.
1742,đồi,4.68,noun,"hill, mound, small mountain",Nhà tôi ở gần cái đồi nhỏ.,My house is near the small hill.
1743,ấp,4.68,verb,"to cuddle, to hatch",Con bé ấp mẹ ngủ.,The little girl cuddles her mom to sleep.
1744,axit,4.67,noun,acid (chemical compound),Cẩn thận với axit đấy.,Be careful with acid.
1745,cống,4.67,noun,"sewer, drain, culvert",Nước cống bẩn lắm.,Sewer water is very dirty.
1746,giấu,4.67,verb,"to hide, conceal, keep secret",Mày giấu tiền ở đâu?,Where did you hide the money?
1747,heo,4.67,noun,"pig, pork",Thịt heo xào ngon lắm.,Stir-fried pork is delicious.
1748,hôi,4.67,adjective,"stinky, smelly, foul-smelling",Cái gì mà hôi thế?,What's that awful smell?
1749,kỉ,4.67,noun,"era, epoch, period",Cái này từ kỉ xưa rồi.,This is from an ancient era.
1750,lò,4.67,noun,"oven, furnace, kiln",Bánh này nướng bằng lò.,This cake is baked in an oven.
1751,lầu,4.67,noun,"floor, story (of building)",Nhà tôi có ba lầu.,My house has three floors.
1752,mọc,4.67,verb,"to grow, to rise, to emerge",Mặt trời mọc rồi.,The sun has risen.
1753,mỏi,4.67,adjective,"tired, weary, aching",Tôi thấy rất mỏi chân.,My legs feel very tired.
1754,nạp,4.67,verb,"to load, to charge, to input",Mày nạp tiền điện thoại đi.,Go top up your phone credit.
1755,nẵng,4.67,proper noun,Da Nang (city in Vietnam),Nẵng có bãi biển đẹp lắm.,Da Nang has very beautiful beaches.
1756,triết,4.67,noun,"philosophy, philosophical thought",Anh ấy học triết ở đại học.,He studies philosophy at university.
1757,tóm,4.67,verb,"to grab, to seize, to summarize",Mày tóm lấy cái túi hộ tao.,Grab that bag for me.
1758,xóm,4.67,noun,"hamlet, neighborhood, village part",Xóm tôi có nhiều nhà mới.,My neighborhood has many new houses.
1759,bọc,4.66,verb,"to wrap, to cover, to encase",Bọc quà cẩn thận nhé.,"Wrap the gift carefully, please."
1760,cáp,4.66,noun,"cable, wire",Dây cáp này bị đứt rồi.,This cable is broken.
1761,dâng,4.66,verb,"offer, present, rise (water)",Nước biển dâng cao quá.,The sea water rose too high.
1762,hot,4.66,adjective,"popular, trending, attractive",Bài hát này đang rất hot.,This song is very popular.
1763,huỳnh,4.66,noun,a Vietnamese surname,Cô ấy tên là Huỳnh Thảo.,Her name is Huynh Thao.
1764,hâm,4.66,verb,reheat (food); be foolish,Em hâm lại đồ ăn đi.,Please reheat the food.
1765,lee,4.66,noun,a common Korean surname,Anh Lee là người Hàn Quốc.,Mr. Lee is Korean.
1766,mươi,4.66,classifier,ten (in compound numbers),Hai mươi năm rồi đấy.,It's been twenty years.
1767,nghìn,4.66,noun,thousand,Cái này giá một nghìn.,This costs one thousand.
1768,nâu,4.66,adjective,brown (color),Cô ấy có mái tóc nâu.,She has brown hair.
1769,nương,4.66,noun,"field, cultivated land",Mọi người ra nương làm việc.,Everyone goes to the field to work.
1770,quét,4.66,verb,"sweep, brush",Em quét nhà giúp chị nhé.,Please sweep the house for me.
1771,ruột,4.66,noun,"intestine, gut; core, filling",Đau ruột quá đi mất.,My stomach/gut hurts so much.
1772,sưu,4.66,verb,"collect, gather (as hobby)",Anh ấy thích sưu tầm tem.,He likes collecting stamps.
1773,virus,4.66,noun,virus,Máy tính dính virus rồi.,The computer got a virus.
1774,đẻ,4.66,verb,"give birth, lay (eggs)",Con gà này vừa đẻ trứng.,This hen just laid an egg.
1775,all,4.65,adverb,"all, entirely (loanword)",Chúng ta all in đi.,Let's go all in.
1776,bốc,4.65,verb,lift; emit (smell),Anh ấy bốc hàng lên xe.,He lifts goods onto the truck.
1777,bội,4.65,adverb,"doubly, many times over",Tôi cảm thấy bội phần may mắn.,I feel doubly lucky.
1778,cm,4.65,noun,centimeter,Chiếc thước này dài 30 cm.,This ruler is 30 cm long.
1779,cược,4.65,verb,"bet, wager",Anh ấy đặt cược vào trận đấu.,He placed a bet on the match.
1780,dâu,4.65,noun,daughter-in-law; strawberry,Vợ anh trai là dâu trưởng.,My elder brother's wife is the eldest daughter-in-law.
1781,im,4.65,verb,"to be silent, shut up",Mày im đi!,You shut up!
1782,lúa,4.65,noun,"rice plant, paddy",Lúa năm nay được mùa.,This year's rice harvest is good.
1783,lợn,4.65,noun,"pig, pork",Thịt lợn nướng ngon lắm.,Grilled pork is very delicious.
1784,nạ,4.65,noun,"face mask, traditional mask",Đắp nạ khoai tây đi ngủ.,Put on a potato mask and go to sleep.
1785,rũ,4.65,verb,"to droop, hang down",Tóc cô ấy rũ xuống vai.,Her hair drooped down to her shoulders.
1786,thiệp,4.65,noun,"card, invitation",Gửi thiệp mời đám cưới.,Send wedding invitation cards.
1787,thoái,4.65,verb,"to retreat, decline",Đừng thoái chí khi khó khăn.,Don't lose heart when it's difficult.
1788,thổi,4.65,verb,"to blow, inflate",Thổi nến sinh nhật nào!,Blow out the birthday candles!
1789,tiệm,4.65,noun,"shop, store",Ra tiệm tạp hóa mua đồ.,Go to the general store to buy things.
1790,trộn,4.65,verb,"to mix, stir",Trộn đều bột với nước.,Mix the flour well with water.
